NO NO NO NO NO NO NO
146.580002 0.13999939 4.27232881E-4 1.70078729E-5 4.30486194E-4 4.37660148E-8 4.30442451E-4
146.880005 0.159996033 3.99904238E-4 1.53923211E-5 4.30920656E-4 5.13137666E-9 4.30915534E-4
147.160004 0.120002747 4.94475302E-4 1.97632071E-5 4.31356893E-4 1.92703423E-10 4.31356719E-4
147.419998 0.13999939 4.29264095E-4 1.70482544E-5 4.31766035E-4 3.90465655E-12 4.31766006E-4
147.699997 0.13999939 4.52284585E-4 1.74994148E-5 4.32206434E-4 2.25030132E-13 4.32206434E-4
147.979996 0.13999939 4.27909952E-4 1.70213443E-5 4.32646455E-4 3.9928707E-16 4.32646455E-4
148.259995 0.13999939 4.69211402E-4 1.78238661E-5 4.33086127E-4 0 4.33086127E-4
148.539993 0.13999939 4.4957627E-4 1.74469442E-5 4.33525565E-4 1.9252272E-10 4.33525362E-4
148.820007 0.140007019 4.746021E-4 1.79254748E-5 4.33964276E-4 0 4.33964276E-4
149.100006 0.13999939 4.38066054E-4 1.72221535E-5 4.34402784E-4 0 4.34402784E-4
